id,department,classification,municipality,municipalCapital,latitude,longitude,altitude,northCoordinate,eastCoordinate,origin
171,BOLIVAR,MUNICIPIO,ALTOS DEL ROSARIO,ALTOS DEL ROSARIO,N 8°47'41{COM},W74°10' 4{COM},33,1464006,990443,BOGOTA
172,BOLIVAR,MUNICIPIO,ARENAL,ARENAL,N 8°27'43{COM},W73°56'47{COM},50,1427202,1014814,BOGOTA
173,BOLIVAR,MUNICIPIO,ARJONA,ARJONA,N10°15'31{COM},W75°20'47{COM},62,1626192,861349,BOGOTA
174,BOLIVAR,MUNICIPIO,ARROYOHONDO,ARROYOHONDO,N10°15'24{COM},W75° 1'24{COM},25,1625856,896748,BOGOTA
175,BOLIVAR,MUNICIPIO,BARRANCO DE LOBA,BARRANCO DE LOBA,N 8°56'57{COM},W74° 6'44{COM},25,1481086,996557,BOGOTA
176,BOLIVAR,MUNICIPIO,CALAMAR,CALAMAR,N10°15'48{COM},W74°55' 6{COM},8,1626561,908254,BOGOTA
177,BOLIVAR,MUNICIPIO,CANTAGALLO,CANTAGALLO,N 7°22'46{COM},W73°55' 5{COM},64,1307481,1017981,BOGOTA
178,BOLIVAR,MUNICIPIO,CICUCO,CICUCO,N 9°16'47{COM},W74°39' 6{COM},20,1517697,937287,BOGOTA
179,BOLIVAR,MUNICIPIO,CLEMENCIA,CLEMENCIA,N10°34'16{COM},W75°19'42{COM},62,1660758,863464,BOGOTA
180,BOLIVAR,MUNICIPIO,CÓRDOBA,CORDOBA,N 9°35'16{COM},W74°49'48{COM},20,1551809,917764,BOGOTA
181,BOLIVAR,MUNICIPIO,EL CARMEN DE BOLÍVAR,EL CARMEN DE BOLIVAR,N 9°43'15{COM},W75° 7'24{COM},155,1566612,885603,BOGOTA
